Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/6/24,6/6/24,6/7/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.419991,$23.81 ,($10.00)
6/6/24,6/6/24,6/7/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020368,$490.96 ,($10.00)
6/6/24,6/6/24,6/7/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,5,$5.81 ,($29.05)
6/6/24,6/6/24,6/7/24,,ACH Deposit,ACH,,,$20.00 
6/6/24,6/6/24,6/7/24,PLTR,PLTR 6/14/2024 Call $23.00,BTC,1,$1.11 ,($111.03)
6/6/24,6/6/24,6/7/24,PLTR,PLTR 6/14/2024 Call $23.00,BTC,1,$1.12 ,($112.03)
6/5/24,6/5/24,6/6/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020415,$489.83 ,($10.00)
6/5/24,6/5/24,6/6/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.43956,$22.75 ,($10.00)
6/5/24,6/5/24,6/6/24,PLTR,PLTR 6/14/2024 Call $23.00,STO,2,$0.58 ,$115.92 
6/5/24,6/5/24,6/6/24,,ACH Deposit,ACH,,,$20.00 
6/4/24,6/4/24,6/5/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020662,$483.98 ,($10.00)
6/4/24,6/4/24,6/5/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.45558,$21.95 ,($10.00)
6/4/24,6/4/24,6/5/24,PLTR,PLTR 6/14/2024 Call $27.00,BTO,4,$0.03 ,($12.12)
6/4/24,6/4/24,6/5/24,PLTR,PLTR 6/14/2024 Call $27.00,BTO,20,$0.04 ,($80.60)
6/4/24,6/4/24,6/5/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,5,$5.71 ,($28.55)
6/4/24,6/4/24,6/5/24,,ACH Deposit,ACH,,,$20.00 
6/3/24,6/3/24,6/4/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.02073,$482.38 ,($10.00)
6/3/24,6/3/24,6/4/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.473709,$21.11 ,($10.00)
6/3/24,6/3/24,6/4/24,,ACH Deposit,ACH,,,$20.00 
6/3/24,6/3/24,6/4/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,5,$5.83 ,($29.15)
5/31/24,5/31/24,6/3/24,SAVE,Option Expiration for SAVE 5/31/2024 Call $4.00,OEXP,4S,,
5/31/24,5/31/24,6/3/24,SAVE,SAVE 5/31/2024 Call $4.00,STC,1,$0.01 ,$0.95 
5/31/24,5/31/24,6/3/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020889,$478.71 ,($10.00)
5/31/24,5/31/24,6/3/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.02089,$478.68 ,($10.00)
5/31/24,5/31/24,6/3/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.464252,$21.54 ,($10.00)
5/31/24,5/31/24,6/3/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.464252,$21.54 ,($10.00)
5/31/24,5/31/24,6/3/24,,ACH Deposit,ACH,,,$20.00 
5/30/24,5/30/24,5/31/24,,ACH Deposit,ACH,,,$20.00 
5/30/24,5/30/24,5/31/24,SHOP,SHOP 6/14/2024 Call $62.00,STC,1,$0.72 ,$71.95 
5/29/24,5/29/24,5/30/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020657,$484.09 ,($10.00)
5/29/24,5/29/24,5/30/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.479386,$20.86 ,($10.00)
5/29/24,5/29/24,5/30/24,,ACH Deposit,ACH,,,$20.00 
5/28/24,5/28/24,5/29/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020536,$486.93 ,($10.00)
5/28/24,5/28/24,5/29/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.473933,$21.10 ,($10.00)
5/28/24,5/28/24,5/29/24,,ACH Deposit,ACH,,,$20.00 
5/28/24,5/28/24,5/28/24,,Gold Subscription Fee,GOLD,,,($5.00)
5/28/24,5/28/24,5/28/24,,Aggregated Margin Rate,MINT,,,($162.53)
5/24/24,5/24/24,5/28/24,,ACH Deposit,ACH,,,$20.00 
5/23/24,5/23/24,5/28/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020559,$486.40 ,($10.00)
5/23/24,5/23/24,5/28/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.474158,$21.09 ,($10.00)
5/23/24,5/23/24,5/24/24,,ACH Deposit,ACH,,,$20.00 
5/23/24,5/23/24,5/24/24,SHOP,SHOP 6/14/2024 Call $62.00,BTO,1,$1.15 ,($115.03)
5/22/24,5/22/24,5/23/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,1,$0.24 ,$23.95 
5/22/24,5/22/24,5/23/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,4,$0.22 ,$87.86 
5/22/24,5/22/24,5/23/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,1,$0.24 ,$23.95 
5/22/24,5/22/24,5/23/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,2,$0.22 ,$43.92 
5/22/24,5/22/24,5/23/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,2,$0.22 ,$43.92 
5/22/24,5/22/24,5/24/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020498,$487.85 ,($10.00)
5/22/24,5/22/24,5/24/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.468603,$21.34 ,($10.00)
5/22/24,5/22/24,5/23/24,,ACH Deposit,ACH,,,$20.00 
5/21/24,5/21/24,5/23/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020521,$487.29 ,($10.00)
5/21/24,5/21/24,5/23/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.471253,$21.22 ,($10.00)
5/21/24,5/21/24,5/22/24,,ACH Deposit,ACH,,,$20.00 
5/20/24,5/20/24,5/22/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.467508,$21.39 ,($10.00)
5/20/24,5/20/24,5/22/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020515,$487.44 ,($10.00)
5/20/24,5/20/24,5/21/24,,ACH Deposit,ACH,,,$20.00 
5/17/24,5/17/24,5/20/24,QCOM,Option Expiration for QCOM 5/17/2024 Put $180.00,OEXP,1S,,
5/17/24,5/17/24,5/20/24,SNOW,Option Expiration for SNOW 5/17/2024 Call $180.00,OEXP,9S,,
5/17/24,5/17/24,5/21/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.459347,$21.77 ,($10.00)
5/17/24,5/17/24,5/21/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020576,$486.00 ,($10.00)
5/17/24,5/17/24,5/20/24,,ACH Deposit,ACH,,,$20.00 
5/16/24,5/16/24,5/20/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.459136,$21.78 ,($10.00)
5/16/24,5/16/24,5/20/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020525,$487.19 ,($10.00)
5/16/24,5/16/24,5/17/24,,ACH Deposit,ACH,,,$20.00 
5/15/24,5/15/24,5/17/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.4649,$21.51 ,($10.00)
5/15/24,5/15/24,5/17/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020577,$485.97 ,($10.00)
5/15/24,5/15/24,5/17/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.464252,$21.54 ,($10.00)
5/15/24,5/15/24,5/17/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020575,$486.01 ,($10.00)
5/15/24,5/15/24,5/16/24,,ACH Deposit,ACH,,,$20.00 
5/14/24,5/14/24,5/15/24,,ACH Deposit,ACH,,,$20.00 
5/13/24,5/13/24,5/14/24,,ACH Deposit,ACH,,,$20.00 
5/10/24,5/10/24,5/14/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363",Sell,0.386355,$478.24 ,$184.77 
5/10/24,5/10/24,5/14/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305",Sell,1.113706,$167.81 ,$186.89 
5/10/24,5/10/24,5/14/24,MSFT,"Microsoft
CUSIP: 594918104",Sell,0.443867,$413.89 ,$183.71 
5/10/24,5/10/24,5/13/24,MSFT,MSFT 5/17/2024 Put $405.00,STC,1,$1.34 ,$133.95 
5/10/24,5/10/24,5/13/24,,ACH Deposit,ACH,,,$20.00 
5/9/24,5/9/24,5/13/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020945,$477.42 ,($10.00)
5/9/24,5/9/24,5/13/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.469704,$21.29 ,($10.00)
5/9/24,5/9/24,5/10/24,,ACH Deposit,ACH,,,$20.00 
5/9/24,5/9/24,5/10/24,PLTR,PLTR 5/31/2024 Call $30.00,BTC,2,$0.04 ,($8.06)
5/9/24,5/9/24,5/10/24,PLTR,PLTR 5/31/2024 Call $30.00,BTC,3,$0.04 ,($12.09)
5/8/24,5/8/24,5/10/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021067,$474.66 ,($10.00)
5/8/24,5/8/24,5/10/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.465116,$21.50 ,($10.00)
5/8/24,5/8/24,5/10/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.059035,$169.39 ,($10.00)
5/8/24,5/8/24,5/10/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024318,$411.21 ,($10.00)
5/8/24,5/8/24,5/9/24,,ACH Deposit,ACH,,,$40.00 
5/8/24,5/8/24,5/9/24,,ACH Deposit,ACH,,,"$1,600.00 "
5/7/24,5/7/24,5/9/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020987,$476.48 ,($10.00)
5/7/24,5/7/24,5/9/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.463177,$21.59 ,($10.00)
5/7/24,5/7/24,5/9/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024249,$412.38 ,($10.00)
5/7/24,5/7/24,5/9/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.058394,$171.25 ,($10.00)
5/7/24,5/7/24,5/8/24,,ACH Deposit,ACH,,,$40.00 
5/6/24,5/6/24,5/8/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021137,$473.09 ,($10.00)
5/6/24,5/6/24,5/8/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.399201,$25.05 ,($10.00)
5/6/24,5/6/24,5/8/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024354,$410.61 ,($10.00)
5/6/24,5/6/24,5/8/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.059847,$167.09 ,($10.00)
5/6/24,5/6/24,5/7/24,,ACH Deposit,ACH,,,$40.00 
5/6/24,5/6/24,5/7/24,SNOW,SNOW 5/31/2024 Call $170.00,STC,1,$7.30 ,$729.95 
5/6/24,5/6/24,5/7/24,PLTR,PLTR 6/14/2024 Call $27.00,BTO,1,$1.50 ,($150.03)
5/6/24,5/6/24,5/7/24,PLTR,PLTR 6/14/2024 Call $27.00,BTO,5,$1.56 ,($780.15)
5/3/24,5/3/24,5/7/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.434593,$23.01 ,($10.00)
5/3/24,5/3/24,5/7/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.060211,$166.08 ,($10.00)
5/3/24,5/3/24,5/7/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024638,$405.87 ,($10.00)
5/3/24,5/3/24,5/7/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021282,$469.87 ,($10.00)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,BTC,9,$0.34 ,($306.27)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,BTC,1,$0.34 ,($34.03)
5/3/24,5/3/24,5/6/24,,ACH Deposit,ACH,,,$40.00 
5/3/24,5/3/24,5/6/24,MSFT,MSFT 5/17/2024 Put $405.00,BTO,1,$6.70 ,($670.03)
5/3/24,5/3/24,5/6/24,QCOM,QCOM 5/17/2024 Put $180.00,BTO,1,$4.26 ,($426.03)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,3,$0.39 ,$116.89 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,1,$0.39 ,$38.95 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,1,$0.39 ,$38.95 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,1,$0.39 ,$38.95 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,1,$0.39 ,$38.95 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 8/16/2024 Call $9.00,STO,3,$0.39 ,$116.89 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 11/15/2024 Call $11.00,BTC,2,$0.45 ,($90.06)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 11/15/2024 Call $11.00,BTC,2,$0.45 ,($90.06)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 11/15/2024 Call $11.00,BTC,3,$0.45 ,($135.09)
5/3/24,5/3/24,5/6/24,SOFI,SOFI 11/15/2024 Call $11.00,BTC,2,$0.45 ,($90.06)
5/3/24,5/3/24,5/6/24,SNOW,SNOW 5/17/2024 Call $180.00,STC,1,$0.63 ,$62.95 
5/3/24,5/3/24,5/6/24,PLTR,PLTR 5/31/2024 Call $22.00,STC,2,$2.72 ,$543.92 
5/3/24,5/3/24,5/6/24,SOFI,SOFI 11/15/2024 Call $11.00,BTC,1,$0.45 ,($45.03)
5/2/24,5/2/24,5/6/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.444247,$22.51 ,($10.00)
5/2/24,5/2/24,5/6/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.060412,$165.53 ,($10.00)
5/2/24,5/2/24,5/6/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.025179,$397.15 ,($10.00)
5/2/24,5/2/24,5/6/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021578,$463.43 ,($10.00)
5/2/24,5/2/24,5/3/24,PLTR,PLTR 5/31/2024 Call $22.00,BTO,2,$2.26 ,($452.06)
5/2/24,5/2/24,5/3/24,,ACH Deposit,ACH,,,$40.00 
5/1/24,5/1/24,5/2/24,PLTR,PLTR 5/31/2024 Call $30.00,STO,3,$0.27 ,$80.89 
5/1/24,5/1/24,5/2/24,PLTR,PLTR 5/31/2024 Call $30.00,STO,2,$0.26 ,$51.92 
5/1/24,5/1/24,5/3/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021715,$460.50 ,($10.00)
5/1/24,5/1/24,5/3/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.455996,$21.93 ,($10.00)
5/1/24,5/1/24,5/3/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.060938,$164.10 ,($10.00)
5/1/24,5/1/24,5/3/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.025327,$394.82 ,($10.00)
5/1/24,5/1/24,5/2/24,,ACH Deposit,ACH,,,$40.00 
5/1/24,5/1/24,5/2/24,,ACH Deposit,ACH,,,$750.00 
4/30/24,4/30/24,5/2/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021527,$464.52 ,($10.00)
4/30/24,4/30/24,5/2/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.060897,$164.21 ,($10.00)
4/30/24,4/30/24,5/2/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.025285,$395.48 ,($10.00)
4/30/24,4/30/24,5/2/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.451671,$22.14 ,($10.00)
4/30/24,4/30/24,5/1/24,SNOW,SNOW 5/17/2024 Call $180.00,STC,4,$0.85 ,$339.86 
4/30/24,4/30/24,5/1/24,,ACH Deposit,ACH,,,$40.00 
4/30/24,4/30/24,5/1/24,SNOW,SNOW 5/31/2024 Call $170.00,BTO,1,$6.10 ,($610.03)
4/29/24,4/29/24,5/1/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021315,$469.14 ,($10.00)
4/29/24,4/29/24,5/1/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.439367,$22.76 ,($10.00)
4/29/24,4/29/24,5/1/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.059887,$166.98 ,($10.00)
4/29/24,4/29/24,5/1/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024933,$401.06 ,($10.00)
4/29/24,4/29/24,4/30/24,,ACH Deposit,ACH,,,$40.00 
4/29/24,4/29/24,4/30/24,PLTR,PLTR 5/31/2024 Call $22.00,BTO,2,$2.46 ,($492.06)
4/29/24,4/29/24,4/30/24,PLTR,PLTR 5/31/2024 Call $22.00,BTO,6,$2.46 ,"($1,476.18)"
4/29/24,4/29/24,4/30/24,PLTR,PLTR 5/31/2024 Call $22.00,BTO,2,$2.46 ,($492.06)
4/26/24,4/26/24,4/30/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021339,$468.62 ,($10.00)
4/26/24,4/26/24,4/30/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.442086,$22.62 ,($10.00)
4/26/24,4/26/24,4/30/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.058008,$172.39 ,($10.00)
4/26/24,4/26/24,4/30/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024416,$409.56 ,($10.00)
4/26/24,4/26/24,4/29/24,,ACH Deposit,ACH,,,$40.00 
4/26/24,4/26/24,4/29/24,SNOW,SNOW 5/3/2024 Call $150.00,STC,1,$10.00 ,$999.95 
4/26/24,4/26/24,4/26/24,,Gold Subscription Fee,GOLD,,,($5.00)
4/26/24,4/26/24,4/26/24,,Aggregated Margin Rate,MINT,,,($226.49)
4/25/24,4/25/24,4/26/24,PLTR,PLTR 5/10/2024 Call $23.00,BTC,3,$1.10 ,($330.09)
4/25/24,4/25/24,4/26/24,PLTR,PLTR 5/10/2024 Call $23.00,BTC,1,$1.10 ,($110.03)
4/25/24,4/25/24,4/26/24,PLTR,PLTR 5/10/2024 Call $23.00,BTC,6,$1.10 ,($660.18)
4/25/24,4/25/24,4/29/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021674,$461.37 ,($10.00)
4/25/24,4/25/24,4/29/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.465549,$21.48 ,($10.00)
4/25/24,4/25/24,4/29/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.064238,$155.67 ,($10.00)
4/25/24,4/25/24,4/29/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.025253,$395.99 ,($10.00)
4/25/24,4/25/24,4/26/24,,ACH Deposit,ACH,,,$40.00 
4/24/24,4/24/24,4/26/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021524,$464.58 ,($10.00)
4/24/24,4/24/24,4/26/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.461041,$21.69 ,($10.00)
4/24/24,4/24/24,4/26/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024442,$409.13 ,($10.00)
4/24/24,4/24/24,4/26/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.063147,$158.36 ,($10.00)
4/24/24,4/24/24,4/25/24,,ACH Deposit,ACH,,,$40.00 
4/23/24,4/23/24,4/25/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021532,$464.41 ,($10.00)
4/23/24,4/23/24,4/25/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.464037,$21.55 ,($10.00)
4/23/24,4/23/24,4/25/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.062996,$158.74 ,($10.00)
4/23/24,4/23/24,4/25/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024565,$407.08 ,($10.00)
4/23/24,4/23/24,4/24/24,SNOW,SNOW 5/3/2024 Call $150.00,BTO,1,$5.45 ,($545.03)
4/23/24,4/23/24,4/24/24,,ACH Deposit,ACH,,,$10.02 
4/23/24,4/23/24,4/24/24,,ACH Deposit,ACH,,,$40.00 
4/22/24,4/22/24,4/24/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021755,$459.65 ,($10.00)
4/22/24,4/22/24,4/24/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.480076,$20.83 ,($10.00)
4/22/24,4/22/24,4/24/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.063698,$156.99 ,($10.00)
4/22/24,4/22/24,4/24/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.024991,$400.13 ,($10.00)
4/22/24,4/22/24,4/23/24,,ACH Deposit,ACH,,,$40.00 
4/19/24,4/19/24,4/23/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.484261,$20.65 ,($10.00)
4/19/24,4/19/24,4/23/24,GOOGL,"Alphabet Class A
CUSIP: 02079K305
Recurring",Buy,0.06493,$154.01 ,($10.00)
4/19/24,4/19/24,4/23/24,MSFT,"Microsoft
CUSIP: 594918104
Recurring",Buy,0.025037,$399.40 ,($10.00)
4/19/24,4/19/24,4/23/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021899,$456.64 ,($10.00)
4/19/24,4/19/24,4/22/24,,ACH Deposit,ACH,,,$40.00 
4/19/24,4/19/24,4/22/24,SOFI,SOFI 11/15/2024 Call $11.00,STO,1,$0.58 ,$57.95 
4/19/24,4/19/24,4/22/24,SOFI,SOFI 11/15/2024 Call $11.00,STO,2,$0.58 ,$115.92 
4/19/24,4/19/24,4/22/24,SOFI,SOFI 11/15/2024 Call $11.00,STO,2,$0.58 ,$115.92 
4/19/24,4/19/24,4/22/24,SOFI,SOFI 11/15/2024 Call $11.00,STO,5,$0.58 ,$289.83 
4/19/24,4/19/24,4/22/24,PLTR,PLTR 5/10/2024 Call $23.00,STO,1,$1.00 ,$99.95 
4/19/24,4/19/24,4/22/24,PLTR,PLTR 5/10/2024 Call $23.00,STO,1,$1.00 ,$99.95 
4/19/24,4/19/24,4/22/24,PLTR,PLTR 5/10/2024 Call $23.00,STO,5,$1.00 ,$499.83 
4/19/24,4/19/24,4/22/24,PLTR,PLTR 5/10/2024 Call $23.00,STO,3,$1.00 ,$299.89 
4/18/24,4/18/24,4/22/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.021775,$459.24 ,($10.00)
